"ODS Code","Measure","Percentage","Over Target","Total","Year"
"RA3","31 Day Wait for first treatment By Cancer","0.976","16","674","2019"
"RP5","31 Day Wait for first treatment By Cancer","0.992","16","2000","2019"
"R0B","31 Day Wait for first treatment By Cancer","0.988","16","1339","2019"
"RAX","31 Day Wait for first treatment By Cancer","0.989","15","1309","2019"
"RVR","31 Day Wait for first treatment By Cancer","0.988","14","1155","2019"
"R1F","31 Day Wait for first treatment By Cancer","0.986","14","988","2019"
"RCD","31 Day Wait for first treatment By Cancer","0.988","14","1203","2019"
"RBK","31 Day Wait for first treatment By Cancer","0.988","14","1198","2019"
"RT3","31 Day Wait for first treatment By Cancer","0.972","13","458","2019"
"RVY","31 Day Wait for first treatment By Cancer","0.984","13","801","2019"
"RWY","31 Day Wait for first treatment By Cancer","0.995","11","2067","2019"
"RGM","31 Day Wait for first treatment By Cancer","0.969","10","325","2019"
"NV3","31 Day Wait for first treatment By Cancer","0.983","10","582","2019"
"RR7","31 Day Wait for first treatment By Cancer","0.993","10","1528","2019"
"RDU","31 Day Wait for first treatment By Cancer","0.997","9","3352","2019"
"NHT","31 Day Wait for first treatment By Cancer","0.912","8","91","2019"
"NCN","31 Day Wait for first treatment By Cancer","0.961","8","206","2019"
"RLN","31 Day Wait for first treatment By Cancer","0.992","8","987","2019"
"NVM","31 Day Wait for first treatment By Cancer","0.932","8","117","2019"
"RRJ","31 Day Wait for first treatment By Cancer","0.958","7","167","2019"
"RGP","31 Day Wait for first treatment By Cancer","0.995","7","1340","2019"
"RWW","31 Day Wait for first treatment By Cancer","0.995","5","970","2019"
"RGR","31 Day Wait for first treatment By Cancer","0.997","5","1535","2019"
"RY2","31 Day Wait for first treatment By Cancer","0.967","5","152","2019"
"RQ3","31 Day Wait for first treatment By Cancer","0.978","5","231","2019"
"RN7","31 Day Wait for first treatment By Cancer","0.996","4","999","2019"
"RP6","31 Day Wait for first treatment By Cancer","0.987","4","314","2019"
"RAN","31 Day Wait for first treatment By Cancer","0.980","3","148","2019"
"RLT","31 Day Wait for first treatment By Cancer","0.995","3","568","2019"
"NYG","31 Day Wait for first treatment By Cancer","0.995","2","401","2019"
"RKE","31 Day Wait for first treatment By Cancer","0.996","2","447","2019"
"RBQ","31 Day Wait for first treatment By Cancer","0.997","2","589","2019"
"NQT","31 Day Wait for first treatment By Cancer","0.965","2","57","2019"
"RMP","31 Day Wait for first treatment By Cancer","0.999","1","682","2019"
"NT3","31 Day Wait for first treatment By Cancer","1.000","0","2","2019"
"RCU","31 Day Wait for first treatment By Cancer","1.000","0","16","2019"
"RCF","31 Day Wait for first treatment By Cancer","1.000","0","885","2019"
"RY6","31 Day Wait for first treatment By Cancer","1.000","0","2","2019"
"AQK","31 Day Wait for first treatment By Cancer","1.000","0","175","2019"
"RE9","31 Day Wait for first treatment By Cancer","1.000","0","171","2019"
"RC9","31 Day Wait for first treatment By Cancer","1.000","0","1272","2019"
"RET","31 Day Wait for first treatment By Cancer","1.000","0","142","2019"
"RBS","31 Day Wait for first treatment By Cancer","1.000","0","94","2019"
"NT2","31 Day Wait for first treatment By Cancer","1.000","0","2","2019"
"RJN","31 Day Wait for first treatment By Cancer","1.000","0","645","2019"
"RL1","31 Day Wait for first treatment By Cancer","1.000","0","21","2019"
"RW5","31 Day Wait for first treatment By Cancer","1.000","0","3","2019"
"RP4","31 Day Wait for first treatment By Cancer","1.000","0","173","2019"
"R1C","31 Day Wait for first treatment By Cancer","1.000","0","3","2019"
"RQX","31 Day Wait for first treatment By Cancer","1.000","0","468","2019"
"RVV","62 Day Wait for first treatment By Cancer","0.714","337.5","1178.5","2015"
"RWE","62 Day Wait for first treatment By Cancer","0.796","278.0","1359.5","2015"
"RJE","62 Day Wait for first treatment By Cancer","0.766","259.5","1110.0","2015"
"RWD","62 Day Wait for first treatment By Cancer","0.766","255.5","1092.0","2015"
"RJ1","62 Day Wait for first treatment By Cancer","0.697","255.0","841.5","2015"
"RM1","62 Day Wait for first treatment By Cancer","0.766","254.0","1085.0","2015"
"RH8","62 Day Wait for first treatment By Cancer","0.792","243.5","1170.5","2015"
"RTR","62 Day Wait for first treatment By Cancer","0.785","220.5","1025.5","2015"
"RTE","62 Day Wait for first treatment By Cancer","0.757","216.0","888.5","2015"
"RWA","62 Day Wait for first treatment By Cancer","0.769","215.0","930.0","2015"
"RR8","62 Day Wait for first treatment By Cancer","0.829","211.5","1234.5","2015"
"RK9","62 Day Wait for first treatment By Cancer","0.799","209.0","1041.0","2015"
"RAL","62 Day Wait for first treatment By Cancer","0.710","208.5","718.0","2015"
"RXC","62 Day Wait for first treatment By Cancer","0.755","207.0","844.0","2015"
"RHQ","62 Day Wait for first treatment By Cancer","0.808","206.0","1072.5","2015"
"RF4","62 Day Wait for first treatment By Cancer","0.745","201.0","789.5","2015"
"RX1","62 Day Wait for first treatment By Cancer","0.799","200.5","997.0","2015"
"RDE","62 Day Wait for first treatment By Cancer","0.728","194.5","715.5","2015"
"RR1","62 Day Wait for first treatment By Cancer","0.809","193.5","1015.0","2015"
"RWP","62 Day Wait for first treatment By Cancer","0.806","189.5","979.0","2015"
"RTG","62 Day Wait for first treatment By Cancer","0.781","188.5","859.5","2015"
"RTH","62 Day Wait for first treatment By Cancer","0.855","185.0","1273.0","2015"
"RQ8","62 Day Wait for first treatment By Cancer","0.732","178.0","665.0","2015"
"RHW","62 Day Wait for first treatment By Cancer","0.742","178.0","689.0","2015"
"RGT","62 Day Wait for first treatment By Cancer","0.796","173.5","851.0","2015"
"RRK","62 Day Wait for first treatment By Cancer","0.727","172.0","630.5","2015"
"RVJ","62 Day Wait for first treatment By Cancer","0.810","172.0","907.0","2015"
"RBV","62 Day Wait for first treatment By Cancer","0.682","171.5","539.0","2015"
"RWF","62 Day Wait for first treatment By Cancer","0.768","167.0","720.5","2015"
"RTD","62 Day Wait for first treatment By Cancer","0.861","162.5","1173.0","2015"
"RXN","62 Day Wait for first treatment By Cancer","0.803","156.0","791.5","2015"
"RXH","62 Day Wait for first treatment By Cancer","0.786","155.0","725.5","2015"
"RRV","62 Day Wait for first treatment By Cancer","0.670","148.5","449.5","2015"
"R1H","62 Day Wait for first treatment By Cancer","0.809","147.5","773.0","2015"
"RL4","62 Day Wait for first treatment By Cancer","0.771","145.0","632.0","2015"
"RNL","62 Day Wait for first treatment By Cancer","0.737","144.5","550.0","2015"
"RHU","62 Day Wait for first treatment By Cancer","0.848","142.5","940.5","2015"
"RDD","62 Day Wait for first treatment By Cancer","0.735","141.5","533.5","2015"
"RHM","62 Day Wait for first treatment By Cancer","0.867","141.0","1063.0","2015"
"RWH","62 Day Wait for first treatment By Cancer","0.781","135.0","616.0","2015"
"RYR","62 Day Wait for first treatment By Cancer","0.864","130.0","955.0","2015"
"RCB","62 Day Wait for first treatment By Cancer","0.855","129.5","895.0","2015"
"RXW","62 Day Wait for first treatment By Cancer","0.855","126.5","871.0","2015"
"REF","62 Day Wait for first treatment By Cancer","0.858","125.5","885.5","2015"
"RNS","62 Day Wait for first treatment By Cancer","0.792","124.5","598.5","2015"
"RA7","62 Day Wait for first treatment By Cancer","0.816","121.5","661.0","2015"
"REN","62 Day Wait for first treatment By Cancer","0.636","118.0","324.0","2015"
"RBA","62 Day Wait for first treatment By Cancer","0.825","116.5","667.0","2015"
"RDZ","62 Day Wait for first treatment By Cancer","0.852","114.5","776.0","2015"
"RKB","62 Day Wait for first treatment By Cancer","0.830","113.5","669.0","2015"
"RW6","62 Day Wait for first treatment By Cancer","0.860","111.5","799.0","2015"
"RJZ","62 Day Wait for first treatment By Cancer","0.857","109.0","760.5","2015"
"RA2","62 Day Wait for first treatment By Cancer","0.778","105.0","472.0","2015"
"RPY","62 Day Wait for first treatment By Cancer","0.777","103.0","461.5","2015"
"RN5","62 Day Wait for first treatment By Cancer","0.861","101.5","729.5","2015"
"RAJ","62 Day Wait for first treatment By Cancer","0.787","99.0","465.0","2015"
"RJ2","62 Day Wait for first treatment By Cancer","0.786","97.0","453.0","2015"
"RXP","62 Day Wait for first treatment By Cancer","0.876","89.5","724.0","2015"
"RLN","62 Day Wait for first treatment By Cancer","0.830","89.0","523.0","2015"
"RXF","62 Day Wait for first treatment By Cancer","0.881","88.0","740.0","2015"
"RP5","62 Day Wait for first treatment By Cancer","0.851","85.0","570.0","2015"
"RNQ","62 Day Wait for first treatment By Cancer","0.812","84.5","450.0","2015"
"RNA","62 Day Wait for first treatment By Cancer","0.864","84.5","620.5","2015"
"RVR","62 Day Wait for first treatment By Cancer","0.792","84.0","403.0","2015"
"R1K","62 Day Wait for first treatment By Cancer","0.823","83.5","473.0","2015"
"RYJ","62 Day Wait for first treatment By Cancer","0.858","83.0","583.0","2015"
"RK5","62 Day Wait for first treatment By Cancer","0.830","83.0","487.0","2015"
"RXL","62 Day Wait for first treatment By Cancer","0.864","82.0","602.5","2015"
"RJ7","62 Day Wait for first treatment By Cancer","0.830","82.0","482.5","2015"
"RCX","62 Day Wait for first treatment By Cancer","0.824","80.5","458.0","2015"
"RGQ","62 Day Wait for first treatment By Cancer","0.875","80.0","638.5","2015"
"RXR","62 Day Wait for first treatment By Cancer","0.881","77.5","650.0","2015"
"RPA","62 Day Wait for first treatment By Cancer","0.824","76.5","433.5","2015"
"RGN","62 Day Wait for first treatment By Cancer","0.886","76.0","666.5","2015"
"RTP","62 Day Wait for first treatment By Cancer","0.858","76.0","535.0","2015"
"RD1","62 Day Wait for first treatment By Cancer","0.882","74.0","629.0","2015"
"RBL","62 Day Wait for first treatment By Cancer","0.868","74.0","560.5","2015"
"RJL","62 Day Wait for first treatment By Cancer","0.865","73.0","540.5","2015"
"RA9","62 Day Wait for first treatment By Cancer","0.883","71.0","604.5","2015"
"RD3","62 Day Wait for first treatment By Cancer","0.853","69.5","471.5","2015"
"RBK","62 Day Wait for first treatment By Cancer","0.806","68.5","352.5","2015"
"RW3","62 Day Wait for first treatment By Cancer","0.825","68.0","388.0","2015"
"RXK","62 Day Wait for first treatment By Cancer","0.861","68.0","490.5","2015"
"RLQ","62 Day Wait for first treatment By Cancer","0.793","66.5","322.0","2015"
"RM2","62 Day Wait for first treatment By Cancer","0.866","62.5","467.0","2015"
"RWG","62 Day Wait for first treatment By Cancer","0.878","61.5","504.0","2015"
"RXQ","62 Day Wait for first treatment By Cancer","0.883","61.5","527.5","2015"
"RTK","62 Day Wait for first treatment By Cancer","0.854","61.0","417.0","2015"
"RAE","62 Day Wait for first treatment By Cancer","0.891","60.0","552.0","2015"
"RJR","62 Day Wait for first treatment By Cancer","0.850","59.5","395.5","2015"
"RVW","62 Day Wait for first treatment By Cancer","0.840","57.5","360.0","2015"
"RR7","62 Day Wait for first treatment By Cancer","0.861","57.0","410.5","2015"
"RJ6","62 Day Wait for first treatment By Cancer","0.858","56.5","398.5","2015"
"RTF","62 Day Wait for first treatment By Cancer","0.879","56.5","466.0","2015"
"RGP","62 Day Wait for first treatment By Cancer","0.861","55.0","396.0","2015"
"RBN","62 Day Wait for first treatment By Cancer","0.889","52.5","474.5","2015"
"REM","62 Day Wait for first treatment By Cancer","0.876","52.0","420.5","2015"
"RBD","62 Day Wait for first treatment By Cancer","0.858","51.5","362.5","2015"
"RN3","62 Day Wait for first treatment By Cancer","0.872","51.5","401.5","2015"
"RBZ","62 Day Wait for first treatment By Cancer","0.832","51.0","303.5","2015"
"RDU","62 Day Wait for first treatment By Cancer","0.885","51.0","442.5","2015"
"RQW","62 Day Wait for first treatment By Cancer","0.861","50.5","362.5","2015"
"RA3","62 Day Wait for first treatment By Cancer","0.793","48.5","234.0","2015"
"RFS","62 Day Wait for first treatment By Cancer","0.899","48.0","474.0","2015"
"R1F","62 Day Wait for first treatment By Cancer","0.835","47.0","284.0","2015"
"RJC","62 Day Wait for first treatment By Cancer","0.845","47.0","303.0","2015"
"RGR","62 Day Wait for first treatment By Cancer","0.891","47.0","431.0","2015"
"NV3","62 Day Wait for first treatment By Cancer","0.855","44.0","302.5","2015"
"RQQ","62 Day Wait for first treatment By Cancer","0.844","43.5","279.0","2015"
"RQ6","62 Day Wait for first treatment By Cancer","0.869","43.0","329.5","2015"
"RA4","62 Day Wait for first treatment By Cancer","0.866","43.0","321.0","2015"
"RTX","62 Day Wait for first treatment By Cancer","0.919","43.0","533.5","2015"
"RFF","62 Day Wait for first treatment By Cancer","0.857","42.0","293.0","2015"
"RWY","62 Day Wait for first treatment By Cancer","0.923","42.0","543.0","2015"
"RC9","62 Day Wait for first treatment By Cancer","0.894","41.0","387.5","2015"
"RD8","62 Day Wait for first treatment By Cancer","0.871","39.5","305.5","2015"
"RVY","62 Day Wait for first treatment By Cancer","0.873","39.0","306.5","2015"
"RM3","62 Day Wait for first treatment By Cancer","0.910","38.5","428.0","2015"
"RWW","62 Day Wait for first treatment By Cancer","0.846","36.5","236.5","2015"
"RJF","62 Day Wait for first treatment By Cancer","0.870","36.5","281.5","2015"
"RCD","62 Day Wait for first treatment By Cancer","0.906","35.5","379.0","2015"
"RWJ","62 Day Wait for first treatment By Cancer","0.892","35.0","323.5","2015"
"RN7","62 Day Wait for first treatment By Cancer","0.875","34.0","272.5","2015"
"RC1","62 Day Wait for first treatment By Cancer","0.914","34.0","395.5","2015"
"RAX","62 Day Wait for first treatment By Cancer","0.892","33.0","305.5","2015"
"RD7","62 Day Wait for first treatment By Cancer","0.895","33.0","315.0","2015"
"RMC","62 Day Wait for first treatment By Cancer","0.916","32.5","385.0","2015"
"RFR","62 Day Wait for first treatment By Cancer","0.901","29.5","296.5","2015"
"RAP","62 Day Wait for first treatment By Cancer","0.815","29.5","159.5","2015"
"RRF","62 Day Wait for first treatment By Cancer","0.912","27.5","313.5","2015"
"RLT","62 Day Wait for first treatment By Cancer","0.867","27.0","203.5","2015"
"RNZ","62 Day Wait for first treatment By Cancer","0.926","27.0","365.5","2015"
"RMP","62 Day Wait for first treatment By Cancer","0.923","26.5","345.5","2015"
"RJN","62 Day Wait for first treatment By Cancer","0.903","26.0","268.0","2015"
"RBT","62 Day Wait for first treatment By Cancer","0.937","26.0","414.0","2015"
"RT3","62 Day Wait for first treatment By Cancer","0.469","25.5","48.0","2015"
"RCF","62 Day Wait for first treatment By Cancer","0.913","24.5","282.0","2015"
"RPC","62 Day Wait for first treatment By Cancer","0.823","23.5","133.0","2015"
"RQM","62 Day Wait for first treatment By Cancer","0.904","23.0","238.5","2015"
"REP","62 Day Wait for first treatment By Cancer","0.829","19.5","114.0","2015"
"RAS","62 Day Wait for first treatment By Cancer","0.925","19.0","253.5","2015"
"RBQ","62 Day Wait for first treatment By Cancer","0.822","18.0","101.0","2015"
"RQX","62 Day Wait for first treatment By Cancer","0.890","17.5","159.5","2015"
"RKE","62 Day Wait for first treatment By Cancer","0.867","16.5","124.5","2015"
"RE9","62 Day Wait for first treatment By Cancer","0.863","14.0","102.5","2015"
"RAN","62 Day Wait for first treatment By Cancer","0.750","13.0","52.0","2015"
"RFW","62 Day Wait for first treatment By Cancer","0.895","10.0","95.0","2015"
"RGM","62 Day Wait for first treatment By Cancer","0.556","8.0","18.0","2015"
"NWV","62 Day Wait for first treatment By Cancer","0.609","4.5","11.5","2015"
"RLU","62 Day Wait for first treatment By Cancer","0.897","2.0","19.5","2015"
"RRJ","62 Day Wait for first treatment By Cancer","0.932","2.0","29.5","2015"
"NVM","62 Day Wait for first treatment By Cancer","0.961","1.5","38.0","2015"
"RGC","62 Day Wait for first treatment By Cancer","0.571","1.5","3.5","2015"
"5QT","62 Day Wait for first treatment By Cancer","0.250","1.5","2.0","2015"
"R1C","62 Day Wait for first treatment By Cancer","0.000","1.0","1.0","2015"
"RP1","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"5PL","62 Day Wait for first treatment By Cancer","0.500","0.5","1","2015"
"RJD","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"RBF","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"RL1","62 Day Wait for first treatment By Cancer","0.909","0.5","5.5","2015"
"RV8","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"RET","62 Day Wait for first treatment By Cancer","0.889","0.5","4.5","2015"
"RWV","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"RWX","62 Day Wait for first treatment By Cancer","0.000","0.5","0.5","2015"
"5NM","62 Day Wait for first treatment By Cancer","1.000","0.0","4.5","2015"
"RY2","62 Day Wait for first treatment By Cancer","1.000","0.0","28.5","2015"
"RDR","62 Day Wait for first treatment By Cancer","1.000","0.0","1.0","2015"
"RP6","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2015"
"RNJ","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2015"
"NDA","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2015"
"RQ3","62 Day Wait for first treatment By Cancer","1.000","0.0","3.5","2015"
"RP4","62 Day Wait for first treatment By Cancer","1.000","0.0","0.5","2015"
"NYT","62 Day Wait for first treatment By Cancer","1.000","0.0","14.5","2015"
"5P5","62 Day Wait for first treatment By Cancer","1.000","0.0","1.5","2015"
"RWE","62 Day Wait for first treatment By Cancer","0.770","542.5","2362.0","2016"
"RVV","62 Day Wait for first treatment By Cancer","0.741","540.5","2083.0","2016"
"RJE","62 Day Wait for first treatment By Cancer","0.733","507.5","1900.5","2016"
"RTH","62 Day Wait for first treatment By Cancer","0.772","470.0","2057.5","2016"
"RWD","62 Day Wait for first treatment By Cancer","0.724","461.5","1675.0","2016"
"RR8","62 Day Wait for first treatment By Cancer","0.801","425.0","2140.5","2016"
"RJ1","62 Day Wait for first treatment By Cancer","0.679","414.5","1291.0","2016"
"RWP","62 Day Wait for first treatment By Cancer","0.750","412.5","1650.5","2016"
"RTE","62 Day Wait for first treatment By Cancer","0.770","408.0","1771.5","2016"
"RHQ","62 Day Wait for first treatment By Cancer","0.794","406.0","1966.5","2016"
"RX1","62 Day Wait for first treatment By Cancer","0.768","402.5","1738.5","2016"
"RH8","62 Day Wait for first treatment By Cancer","0.803","377.0","1914.0","2016"
"RWH","62 Day Wait for first treatment By Cancer","0.700","373.0","1244.5","2016"
"RM1","62 Day Wait for first treatment By Cancer","0.798","372.5","1843.0","2016"
"RF4","62 Day Wait for first treatment By Cancer","0.733","353.5","1324.0","2016"
"RXC","62 Day Wait for first treatment By Cancer","0.763","353.5","1493.5","2016"
"RK9","62 Day Wait for first treatment By Cancer","0.809","352.0","1839.5","2016"
"RWA","62 Day Wait for first treatment By Cancer","0.789","352.0","1670.5","2016"
"RWF","62 Day Wait for first treatment By Cancer","0.727","350.0","1281.0","2016"
"RDE","62 Day Wait for first treatment By Cancer","0.736","332.0","1256.5","2016"
"RTR","62 Day Wait for first treatment By Cancer","0.799","327.0","1628.0","2016"
"RAL","62 Day Wait for first treatment By Cancer","0.778","316.5","1428.0","2016"
"RHU","62 Day Wait for first treatment By Cancer","0.812","311.0","1652.5","2016"
"RXH","62 Day Wait for first treatment By Cancer","0.773","310.5","1370.0","2016"
"RQ8","62 Day Wait for first treatment By Cancer","0.737","308.0","1171.0","2016"
"RBV","62 Day Wait for first treatment By Cancer","0.692","291.5","947.5","2016"
"RGT","62 Day Wait for first treatment By Cancer","0.804","288.5","1469.0","2016"
"RDD","62 Day Wait for first treatment By Cancer","0.693","282.5","920.5","2016"
"RVJ","62 Day Wait for first treatment By Cancer","0.834","281.0","1693.0","2016"
"RAJ","62 Day Wait for first treatment By Cancer","0.696","278.5","915.0","2016"
"RTG","62 Day Wait for first treatment By Cancer","0.808","274.5","1426.0","2016"
"RRK","62 Day Wait for first treatment By Cancer","0.764","267.0","1131.0","2016"
"RHM","62 Day Wait for first treatment By Cancer","0.846","263.5","1708.5","2016"
"RTD","62 Day Wait for first treatment By Cancer","0.871","248.0","1920.5","2016"
"RCB","62 Day Wait for first treatment By Cancer","0.843","239.5","1529.0","2016"
"RRV","62 Day Wait for first treatment By Cancer","0.695","238.5","783.0","2016"
"RHW","62 Day Wait for first treatment By Cancer","0.819","235.5","1298.0","2016"
"RA7","62 Day Wait for first treatment By Cancer","0.790","233.5","1113.0","2016"
"RXN","62 Day Wait for first treatment By Cancer","0.831","221.0","1309.5","2016"
"RL4","62 Day Wait for first treatment By Cancer","0.769","217.0","938.5","2016"
"RA2","62 Day Wait for first treatment By Cancer","0.752","215.0","868.0","2016"
"RNS","62 Day Wait for first treatment By Cancer","0.784","212.0","980.5","2016"
"REN","62 Day Wait for first treatment By Cancer","0.627","210.5","564.5","2016"
"RYR","62 Day Wait for first treatment By Cancer","0.871","209.0","1621.5","2016"
"RYJ","62 Day Wait for first treatment By Cancer","0.788","208.0","979.5","2016"
"RBA","62 Day Wait for first treatment By Cancer","0.832","207.5","1237.5","2016"
"RXF","62 Day Wait for first treatment By Cancer","0.832","207.0","1232.0","2016"
"R1H","62 Day Wait for first treatment By Cancer","0.849","203.5","1351.5","2016"
"RXW","62 Day Wait for first treatment By Cancer","0.865","199.0","1473.0","2016"
"RW6","62 Day Wait for first treatment By Cancer","0.847","198.0","1294.0","2016"
"REF","62 Day Wait for first treatment By Cancer","0.867","193.0","1454.5","2016"
"RPA","62 Day Wait for first treatment By Cancer","0.779","190.0","858.0","2016"
"RR1","62 Day Wait for first treatment By Cancer","0.886","189.5","1658.5","2016"
"R1K","62 Day Wait for first treatment By Cancer","0.794","186.5","906.5","2016"
"RXP","62 Day Wait for first treatment By Cancer","0.853","183.5","1249.0","2016"
"RGN","62 Day Wait for first treatment By Cancer","0.831","179.0","1061.5","2016"
"RPY","62 Day Wait for first treatment By Cancer","0.772","176.5","774.5","2016"
"RKB","62 Day Wait for first treatment By Cancer","0.840","175.5","1095.5","2016"
"RJZ","62 Day Wait for first treatment By Cancer","0.869","169.5","1298.5","2016"
"RDZ","62 Day Wait for first treatment By Cancer","0.864","166.5","1224.5","2016"
"RGQ","62 Day Wait for first treatment By Cancer","0.859","161.0","1143.0","2016"
"RXR","62 Day Wait for first treatment By Cancer","0.868","161.0","1220.0","2016"
"RJL","62 Day Wait for first treatment By Cancer","0.847","160.0","1045.0","2016"
"RN5","62 Day Wait for first treatment By Cancer","0.871","158.5","1231.5","2016"
"RNL","62 Day Wait for first treatment By Cancer","0.826","151.5","871.0","2016"
"RLN","62 Day Wait for first treatment By Cancer","0.841","147.5","926.5","2016"
"RJ2","62 Day Wait for first treatment By Cancer","0.835","144.5","878.0","2016"
"RDU","62 Day Wait for first treatment By Cancer","0.895","144.5","1381.0","2016"
"RXQ","62 Day Wait for first treatment By Cancer","0.846","141.5","920.5","2016"
"RNA","62 Day Wait for first treatment By Cancer","0.854","134.0","919.5","2016"
"RXL","62 Day Wait for first treatment By Cancer","0.867","128.5","968.5","2016"
"RP5","62 Day Wait for first treatment By Cancer","0.852","127.5","863.5","2016"
"RJ7","62 Day Wait for first treatment By Cancer","0.839","127.0","787.0","2016"
"RTP","62 Day Wait for first treatment By Cancer","0.871","125.0","966.5","2016"
"RAE","62 Day Wait for first treatment By Cancer","0.871","122.5","946.5","2016"
"RTX","62 Day Wait for first treatment By Cancer","0.867","122.0","917.5","2016"
"RFS","62 Day Wait for first treatment By Cancer","0.839","121.5","754.0","2016"
"RBL","62 Day Wait for first treatment By Cancer","0.873","120.0","948.0","2016"
"RLQ","62 Day Wait for first treatment By Cancer","0.814","119.5","643.5","2016"
"RC1","62 Day Wait for first treatment By Cancer","0.823","118.5","670.0","2016"
"RK5","62 Day Wait for first treatment By Cancer","0.838","117.0","723.5","2016"
"RCX","62 Day Wait for first treatment By Cancer","0.845","117.0","753.5","2016"
"RD1","62 Day Wait for first treatment By Cancer","0.894","116.0","1094.0","2016"
"RTF","62 Day Wait for first treatment By Cancer","0.857","115.5","810.5","2016"
"RA9","62 Day Wait for first treatment By Cancer","0.892","112.0","1037.0","2016"
"RJF","62 Day Wait for first treatment By Cancer","0.789","111.0","527.0","2016"
"REM","62 Day Wait for first treatment By Cancer","0.847","111.0","727.0","2016"
"RBD","62 Day Wait for first treatment By Cancer","0.836","110.0","671.5","2016"
"RTK","62 Day Wait for first treatment By Cancer","0.844","110.0","705.5","2016"
"RVW","62 Day Wait for first treatment By Cancer","0.854","107.5","735.0","2016"
"RD8","62 Day Wait for first treatment By Cancer","0.836","107.0","654.0","2016"
"RBN","62 Day Wait for first treatment By Cancer","0.885","106.5","929.0","2016"
"RJR","62 Day Wait for first treatment By Cancer","0.848","106.0","698.0","2016"
"RXK","62 Day Wait for first treatment By Cancer","0.870","103.5","796.0","2016"
"RW3","62 Day Wait for first treatment By Cancer","0.836","102.5","626.5","2016"
"RWG","62 Day Wait for first treatment By Cancer","0.885","100.0","868.0","2016"
"RM2","62 Day Wait for first treatment By Cancer","0.885","99.5","866.5","2016"
"RNQ","62 Day Wait for first treatment By Cancer","0.869","98.5","752.5","2016"
"RGR","62 Day Wait for first treatment By Cancer","0.867","97.5","735.5","2016"
"RD3","62 Day Wait for first treatment By Cancer","0.886","93.5","821.5","2016"
"RA3","62 Day Wait for first treatment By Cancer","0.755","89.5","365.0","2016"
"RJC","62 Day Wait for first treatment By Cancer","0.856","88.5","613.0","2016"
"RR7","62 Day Wait for first treatment By Cancer","0.875","88.0","704.0","2016"
"RVR","62 Day Wait for first treatment By Cancer","0.873","85.0","670.5","2016"
"RQW","62 Day Wait for first treatment By Cancer","0.868","84.0","635.5","2016"
"RVY","62 Day Wait for first treatment By Cancer","0.834","83.5","503.5","2016"
"RWY","62 Day Wait for first treatment By Cancer","0.912","82.0","929.0","2016"
"RNZ","62 Day Wait for first treatment By Cancer","0.878","81.0","663.0","2016"
"RA4","62 Day Wait for first treatment By Cancer","0.839","80.0","497.5","2016"
"RC9","62 Day Wait for first treatment By Cancer","0.878","80.0","658.0","2016"
"RN3","62 Day Wait for first treatment By Cancer","0.873","79.5","627.5","2016"
"RQ6","62 Day Wait for first treatment By Cancer","0.863","78.5","574.0","2016"
"RAP","62 Day Wait for first treatment By Cancer","0.770","78.5","341.0","2016"
"NV3","62 Day Wait for first treatment By Cancer","0.854","78.0","534.0","2016"
"RGP","62 Day Wait for first treatment By Cancer","0.888","76.5","680.0","2016"
"RBK","62 Day Wait for first treatment By Cancer","0.848","73.0","479.0","2016"
"R1F","62 Day Wait for first treatment By Cancer","0.838","72.0","444.5","2016"
"RLT","62 Day Wait for first treatment By Cancer","0.791","70.0","334.5","2016"
"RBZ","62 Day Wait for first treatment By Cancer","0.872","69.0","540.5","2016"
"RJ6","62 Day Wait for first treatment By Cancer","0.893","68.5","637.5","2016"
"RM3","62 Day Wait for first treatment By Cancer","0.910","68.0","757.5","2016"
"RFR","62 Day Wait for first treatment By Cancer","0.881","66.0","552.5","2016"
"RCD","62 Day Wait for first treatment By Cancer","0.893","63.5","595.5","2016"
"RQM","62 Day Wait for first treatment By Cancer","0.874","63.5","503.5","2016"
"RN7","62 Day Wait for first treatment By Cancer","0.865","60.5","446.5","2016"
"RWJ","62 Day Wait for first treatment By Cancer","0.899","58.0","572.0","2016"
"RWW","62 Day Wait for first treatment By Cancer","0.862","57.0","412.0","2016"
"RFF","62 Day Wait for first treatment By Cancer","0.891","53.5","489.0","2016"
"RAS","62 Day Wait for first treatment By Cancer","0.885","52.5","458.0","2016"
"RQQ","62 Day Wait for first treatment By Cancer","0.890","52.0","471.0","2016"
"RJN","62 Day Wait for first treatment By Cancer","0.873","47.5","373.0","2016"
"RBT","62 Day Wait for first treatment By Cancer","0.931","46.5","672.5","2016"
"RPC","62 Day Wait for first treatment By Cancer","0.827","44.0","255.0","2016"
"RRF","62 Day Wait for first treatment By Cancer","0.925","43.0","570.0","2016"
"RQX","62 Day Wait for first treatment By Cancer","0.850","40.0","267.0","2016"
"RMC","62 Day Wait for first treatment By Cancer","0.942","38.5","665.5","2016"
